date, Population
1950-12-31,13628428
1951-12-31,13921934
1952-12-31,14226256
1953-12-31,14541559
1954-12-31,14868158
1955-12-31,15206502
1956-12-31,15557205
1957-12-31,15921016
1958-12-31,16298792
1959-12-31,16691449
1960-12-31,17099840
1961-12-31,17524533
1962-12-31,17965725
1963-12-31,18423161
1964-12-31,18896307
1965-12-31,19384841
1966-12-31,19888250
1967-12-31,20406864
1968-12-31,20942145
1969-12-31,21496075
1970-12-31,22069776
1971-12-31,22665271
1972-12-31,23281508
1973-12-31,23913099
1974-12-31,24552540
1975-12-31,25195187
1976-12-31,25836888
1977-12-31,26480913
1978-12-31,27138965
1979-12-31,27827320
1980-12-31,28556769
1981-12-31,29333103
1982-12-31,30150448
1983-12-31,30993758
1984-12-31,31841593
1985-12-31,32678874
1986-12-31,33495953
1987-12-31,34297727
1988-12-31,35100909
1989-12-31,35930050
1990-12-31,36800509
1991-12-31,37718950
1992-12-31,38672607
1993-12-31,39633750
1994-12-31,40564059
1995-12-31,41435758
1996-12-31,42241011
1997-12-31,42987461
1998-12-31,43682260
1999-12-31,44338543
2000-12-31,44967708
2001-12-31,45571274
2002-12-31,46150913
2003-12-31,46719196
2004-12-31,47291610
2005-12-31,47880601
2006-12-31,48489459
2007-12-31,49119759
2008-12-31,49779471
2009-12-31,50477011
2010-12-31,51216964
2011-12-31,52003755
2012-12-31,52832658
2013-12-31,53687121
2014-12-31,54544186
2015-12-31,55386367
2016-12-31,56207646
2017-12-31,57009756
2018-12-31,57792518
2019-12-31,58558270
2020-12-31,59308690
2021-12-31,60041994
2022-12-31,60756135
2023-12-31,61452691
2024-12-31,62134220
2025-12-31,62802683
2026-12-31,63458384
2027-12-31,64101018
2028-12-31,64731152
2029-12-31,65349369
2030-12-31,65956081
2031-12-31,66551675
2032-12-31,67136185
2033-12-31,67709281
2034-12-31,68270364
2035-12-31,68818987
2036-12-31,69354997
2037-12-31,69878507
2038-12-31,70389616
2039-12-31,70888530
2040-12-31,71375305
2041-12-31,71849860
2042-12-31,72311938
2043-12-31,72761185
2044-12-31,73197181
2045-12-31,73619543
2046-12-31,74028106
2047-12-31,74422697
2048-12-31,74802855
2049-12-31,75168068
2050-12-31,75517920
2051-12-31,75852293
2052-12-31,76171200
2053-12-31,76474565
2054-12-31,76762383
2055-12-31,77034742
2056-12-31,77291704
2057-12-31,77533487
2058-12-31,77760487
2059-12-31,77973178
2060-12-31,78172048
2061-12-31,78357475
2062-12-31,78529805
2063-12-31,78689519
2064-12-31,78837171
2065-12-31,78973283
2066-12-31,79098294
2067-12-31,79212710
2068-12-31,79317158
2069-12-31,79412324
2070-12-31,79498847
2071-12-31,79577126
2072-12-31,79647579
2073-12-31,79710801
2074-12-31,79767421
2075-12-31,79817955
2076-12-31,79862741
2077-12-31,79901921
2078-12-31,79935571
2079-12-31,79963649
2080-12-31,79986093
2081-12-31,80003024
2082-12-31,80014490
2083-12-31,80020280
2084-12-31,80020097
2085-12-31,80013707
2086-12-31,80001117
2087-12-31,79982373
2088-12-31,79957319
2089-12-31,79925820
2090-12-31,79887790
2091-12-31,79843288
2092-12-31,79792461
2093-12-31,79735543
2094-12-31,79672832
2095-12-31,79604598
2096-12-31,79531144
2097-12-31,79452757
2098-12-31,79369725
2099-12-31,79282332
2100-12-31,79190833
